"Time","Incoming","Outgoing"
2023-06-30 20:55:00,0,0
2023-06-30 20:55:15,17.6,17.6
2023-06-30 20:55:30,17.2,17.2
2023-06-30 20:55:45,17.4,17.4
2023-06-30 20:56:00,17.6,17.6
2023-06-30 20:56:15,17.2,17.2
2023-06-30 20:56:30,17.4,17.4
2023-06-30 20:56:45,17.4,17.4
2023-06-30 20:57:00,17.4,17.4
2023-06-30 20:57:15,17.6,17.6
2023-06-30 20:57:30,17.6,17.6
2023-06-30 20:57:45,17.4,17.4
2023-06-30 20:58:00,17.4,17.4
2023-06-30 20:58:15,17.6,17.6
2023-06-30 20:58:30,17.4,17.4
2023-06-30 20:58:45,17.4,17.4
2023-06-30 20:59:00,17.2,17.2
2023-06-30 20:59:15,17.6,17.6
2023-06-30 20:59:30,17.4,17.4
2023-06-30 20:59:45,17.4,17.4
2023-06-30 21:00:00,17.6,17.6
2023-06-30 21:00:15,17.4,17.4
2023-06-30 21:00:30,18,18
2023-06-30 21:00:45,17.2,17.2
2023-06-30 21:01:00,17.8,17.8
2023-06-30 21:01:15,17.4,17.4
2023-06-30 21:01:30,17.4,17.4
2023-06-30 21:01:45,17.4,17.4
2023-06-30 21:02:00,18,18
2023-06-30 21:02:15,17.4,17.4
2023-06-30 21:02:30,17.4,17.4
2023-06-30 21:02:45,17.4,17.4
2023-06-30 21:03:00,17.8,17.8
2023-06-30 21:03:15,17.4,17.4
2023-06-30 21:03:30,17.4,17.4
2023-06-30 21:03:45,17.4,17.4
2023-06-30 21:04:00,17.8,17.8
2023-06-30 21:04:15,17.6,17.6
2023-06-30 21:04:30,17.4,17.4

